material_id,material_type,material_code,batch_no
RM001,RM,NR,RM-B001
RM002,RM,CB,RM-B001
RM003,RM,SULPHUR,RM-B001
BS001,BS,BS-CMPD-01,BSB001
BS002,BS,BS-CMPD-02,BSB002
BS003,BS,BS-CMPD-03,BSB003
BS004,BS,BS-CMPD-04,BSB004
BS005,BS,BS-CMPD-05,BSB005
RS001,RS,RS-CMPD-01,RSB001
RS010,RS,RS-CMPD-10,RSB010
CAL001,CAL,CAL-CMPD-01,CAL001
CAL020,CAL,CAL-CMPD-20,CAL020
BL001,BLANK,BLANK-001,BL001
BL100,BLANK,BLANK-100
PP001,PRESSED_PART,PP001,PP001
PP100,PRESSED_PART,PP100
FG001,FG,FG001,FG001
FG100,FG,FG100
