process_id,process_name,start_time,end_time,machine
BANBURY01,Banbury,2026-01-01T08:00:00,2026-01-01T08:30:00,BAN01
BANBURY02,Banbury,2026-01-01T09:00:00,2026-01-01T09:30:00,BAN01
BANBURY03,Banbury,2026-01-01T10:00:00,2026-01-01T10:30:00,BAN01
BANBURY04,Banbury,2026-01-01T11:00:00,2026-01-01T11:30:00,BAN01
BANBURY05,Banbury,2026-01-01T12:00:00,2026-01-01T12:30:00,BAN01
PRESS001,PressShop,2026-02-01T08:00:00,2026-02-01T08:20:00,PRESS01
PRESS002,PressShop,2026-02-01T08:30:00,2026-02-01T08:50:00,PRESS01
PRESS100,PressShop,2026-02-10T16:30:00,2026-02-10T16:50:00,PRESS04
FIN001,Finishing,2026-02-01T09:00:00,2026-02-01T09:15:00,FIN01
FIN100,Finishing,2026-02-10T17:00:00,2026-02-10T17:15:00,FIN01
